231,291,304,430,0
232,299,305,438,0
232,298,305,437,0
231,293,304,432,0
233,294,306,433,0
231,289,304,428,0
236,285,309,424,0
237,285,310,424,0
244,283,317,422,0
243,279,316,418,0
247,276,320,415,0
248,269,321,408,0
243,270,316,409,0
233,281,306,420,0
232,278,305,417,0
232,276,305,415,0
234,280,307,419,0
233,282,306,421,0
227,280,300,419,0
233,284,306,423,0
237,283,310,422,0
237,287,310,426,0
237,287,310,426,0
246,275,319,414,0
239,279,312,418,0
240,289,313,428,0
240,292,313,431,0
250,291,323,430,0
250,291,323,430,0
243,288,316,427,0
255,301,328,440,0
255,304,328,443,0
251,312,324,451,0
257,315,330,454,0
247,317,320,456,0
237,322,310,461,0
233,324,306,463,0
221,329,294,468,0
218,331,291,470,0
218,340,291,479,0
214,342,287,481,0
217,344,290,483,0
216,344,289,483,0
218,330,291,469,0
221,320,294,459,0
213,329,286,468,0
203,333,276,472,0
201,332,274,471,0
207,331,280,470,0
203,340,276,479,0
205,337,278,476,0
208,336,281,475,0
208,336,281,475,0
207,340,280,479,0
204,341,277,480,0
192,340,265,479,0
192,340,265,479,0
199,338,272,477,0
200,328,273,467,0
212,321,285,460,0
205,312,278,451,0
211,313,284,452,0
210,305,283,444,0
218,292,291,431,0
224,297,297,436,0
220,298,293,437,0
209,290,282,429,0
209,290,282,429,0
213,286,286,425,0
212,277,285,416,0
217,276,290,415,0
212,268,285,407,0
206,266,279,405,0
210,266,283,405,0
204,263,277,402,0
204,271,277,410,0
213,280,286,419,0
212,279,285,418,0
208,272,281,411,0
210,268,283,407,0
214,263,287,402,0
206,262,279,401,0
196,256,269,395,0
191,253,264,392,0
206,266,279,405,0
202,267,275,406,0
206,263,279,402,0
202,257,275,396,0
202,257,275,396,0
198,268,271,407,0
195,266,268,405,0
200,266,273,405,0
208,271,281,410,0
204,275,277,414,0
210,273,283,412,0
215,279,288,418,0
220,279,293,418,0
222,272,295,411,0
220,275,293,414,0
221,280,294,419,0
223,285,296,424,0
216,276,289,415,0
202,267,275,406,0
204,271,277,410,0
199,270,272,409,0
194,263,267,402,0
196,262,269,401,0
201,254,274,393,0
207,254,280,393,0
213,246,286,385,0
212,244,285,383,0
207,245,280,384,0
199,235,272,374,0
199,235,272,374,0
201,237,274,376,0
193,224,266,363,0
192,226,265,365,0
197,232,270,371,0
196,227,269,366,0
198,227,271,366,0
203,222,276,361,0
202,219,275,358,0
204,216,277,355,0
201,218,274,357,0
202,219,275,358,0
204,219,277,358,0
202,221,275,360,0
203,217,276,356,0
206,212,279,351,0
199,213,272,352,0
196,216,269,355,0
193,227,266,366,0
198,223,271,362,0
197,225,270,364,0
196,223,269,362,0
196,223,269,362,0
200,220,273,359,0
202,224,275,363,0
210,227,283,366,0
214,225,287,364,0
210,220,283,359,0
212,212,285,351,0
217,223,290,362,0
219,229,292,368,0
217,224,290,363,0
215,227,288,366,0
218,221,291,360,0
217,215,290,354,0
220,209,293,348,0
218,203,291,342,0
218,200,291,339,0
215,202,288,341,0
218,201,291,340,0
226,200,299,339,0
229,193,302,332,0
235,195,308,334,0
247,196,320,335,0
240,197,313,336,0
243,198,316,337,0
242,187,315,326,0
247,191,320,330,0
238,190,311,329,0
239,187,312,326,0
234,187,307,326,0
228,183,301,322,0
225,190,298,329,0
223,188,296,327,0
227,184,300,323,0
230,179,303,318,0
222,179,295,318,0
218,177,291,316,0
215,177,288,316,0
228,190,301,329,0
229,175,302,314,0
232,178,305,317,0
225,172,298,311,0
233,168,306,307,0
236,172,309,311,0
235,171,308,310,0
234,172,307,311,0
226,166,299,305,0
232,164,305,303,0
232,167,305,306,0
232,169,305,308,0
237,175,310,314,0
231,175,304,314,0
235,171,308,310,0
235,166,308,305,0
238,158,311,297,0
243,159,316,298,0
243,164,316,303,0
244,164,317,303,0
249,168,322,307,0
249,167,322,306,0
